iter,time,total_time,circuit_size,cross_entropy_D,cross_entropy_Df,train_discrimination,valid_discrimination,test_discrimination,train_mll,valid_mll,test_mll,struct?,stop?,P(D),P(Df),P(S),"P(D|Df,S)","P(D|Df,notS)","P(D|notDf,S)","P(D|notDf,notS)"
0,0.048889417,0.048889417,629,0.5007674543205292,0.5007674543205292,-0.014183940503402881,0.004066631768230744,-0.0018048858831798409,-11.536880264425397,-11.736410301942538,-11.8986920071564,true,,0.6997533908754624,0.0,0.31011097410604194,0.0,0.0,0.0,0.0
1,4.1309625,4.179851917,631,0.5007674454268737,0.5007674454268737,-0.014183945514884666,0.004066645911705802,-0.0018048949894450272,-11.536880264425397,-11.736410301942538,-11.8986920071564,true,,0.6997533908754624,0.0,0.31011097410604194,0.0,0.0,0.0,0.0
2,0.199637916,4.379489833,635,0.5008768661489015,0.5008768661489015,-0.014223317341665598,0.004063033011521444,-0.0017313681069820452,-11.536773125706151,-11.73676147055115,-11.898928752493921,true,,0.6997533908754624,0.0,0.31011097410604194,0.0,0.0,0.0,0.0
3,0.298616084,4.678105917,636,0.5009795456114166,0.5009795456114166,-0.014302584148606745,0.004207652064214362,-0.0029369995352767075,-11.536631719242692,-11.73780513117448,-11.896165511269196,true,,0.6997533908754624,0.0,0.31011097410604194,0.0,0.0,0.0,0.0
4,0.246283083,4.924389,636,0.5009795456114166,0.5009795456114166,-0.014302584148606745,0.004207652064214362,-0.0029369995352767075,-11.536631719242692,-11.73780513117448,-11.896165511269196,true,,0.6997533908754624,0.0,0.31011097410604194,0.0,0.0,0.0,0.0
5,0.09261475,5.01700375,638,0.5009795402557718,0.5009795402557718,-0.014302585854643057,0.004207652064214362,-0.002936987531563573,-11.536631719242692,-11.73780513117448,-11.896165511269198,true,,0.6997533908754624,0.0,0.31011097410604194,0.0,0.0,0.0,0.0
6,0.0788215,5.09582525,641,0.5023352414628476,0.5023352414628476,-0.01903554726619594,-0.0018563138584807293,0.00028027499478966433,-11.525680618397537,-11.710031494272465,-11.882994864228019,true,,0.6997533908754624,0.0,0.31011097410604194,0.0,0.0,0.0,0.0
7,0.021183125,5.117008375,642,0.5021504766035984,0.5021504766035984,-0.019133588243385624,-0.0021160115483290776,2.5370350432818434e-5,-11.525058738694817,-11.70999549190872,-11.882657619621375,true,,0.6997533908754624,0.0,0.31011097410604194,0.0,0.0,0.0,0.0
8,0.027093125,5.1441015000000005,642,0.5021504766035984,0.5021504766035984,-0.019133588243385624,-0.0021160115483290776,2.5370350432818434e-5,-11.525058738694817,-11.70999549190872,-11.882657619621375,true,,0.6997533908754624,0.0,0.31011097410604194,0.0,0.0,0.0,0.0
9,0.106618584,5.250720084,662,0.5026681043699743,0.5026681043699743,-0.019494651229545523,-0.0007369570666287961,-0.0015911850191298038,-11.524727863377539,-11.71150180563366,-11.881472366401454,true,,0.6997533908754624,0.0,0.31011097410604194,0.0,0.0,0.0,0.0
10,0.042618167,5.293338251,664,0.5026828396417595,0.5026828396417595,-0.019492692793121158,-0.0006738801987331566,-0.0015859998289554644,-11.524727834726793,-11.711672559750195,-11.881483355444296,true,,0.6997533908754624,0.0,0.31011097410604194,0.0,0.0,0.0,0.0
11,0.02737825,5.320716501,664,0.5026828396417595,0.5026828396417595,-0.019492692793121158,-0.0006738801987331566,-0.0015859998289554644,-11.524727834726793,-11.711672559750195,-11.881483355444296,true,,0.6997533908754624,0.0,0.31011097410604194,0.0,0.0,0.0,0.0
12,0.030609458,5.3513259589999995,676,0.5030773249414714,0.5030773249414714,-0.021125453943346528,-0.004446524619534764,-0.004644529598336389,-11.51798226440784,-11.704275629640364,-11.877308663242161,true,,0.6997533908754624,0.0,0.31011097410604194,0.0,0.0,0.0,0.0
13,0.022310041,5.373635999999999,677,0.5016620356952975,0.5016620356952975,-0.021417778645966834,-0.004405552992865047,-0.004659917323835305,-11.516877110338438,-11.706131168758459,-11.87679706225476,true,,0.6997533908754624,0.0,0.31011097410604194,0.0,0.0,0.0,0.0
14,0.012114417,5.385750417,685,0.5016729179632572,0.5016729179632572,-0.021405016814363353,-0.004448970430466992,-0.004669124171847394,-11.516880596761123,-11.706101180653917,-11.876607334199068,true,,0.6997533908754624,0.0,0.31011097410604194,0.0,0.0,0.0,0.0
15,0.011801041,5.397551458,685,0.5016729179632572,0.5016729179632572,-0.021405016814363353,-0.004448970430466992,-0.004669124171847394,-11.516880596761123,-11.706101180653917,-11.876607334199068,true,,0.6997533908754624,0.0,0.31011097410604194,0.0,0.0,0.0,0.0
16,0.092656125,5.490207583,688,0.5037651800095392,0.5037651800095392,-0.021551817869694068,-0.010372284545215438,-0.003058062984593324,-11.51469842393432,-11.70500773024349,-11.881176687029626,true,,0.6997533908754624,0.0,0.31011097410604194,0.0,0.0,0.0,0.0
