iter,time,total_time,circuit_size,cross_entropy_D,cross_entropy_Df,train_discrimination,valid_discrimination,test_discrimination,train_mll,valid_mll,test_mll,struct?,stop?,P(D),P(Df),P(S),"P(D|Df,S)","P(D|Df,notS)","P(D|notDf,S)","P(D|notDf,notS)"
10,0.034186041,4.197810456999998,664,0.5026828396417595,0.5026828396417595,-0.019492692793121158,-0.0006738801987331566,-0.0015859998289554644,-11.524727834726793,-11.711672559750195,-11.881483355444296,true,,0.6997533908754624,0.0,0.31011097410604194,0.0,0.0,0.0,0.0
11,0.02270475,4.220515206999998,664,0.5026828396417595,0.5026828396417595,-0.019492692793121158,-0.0006738801987331566,-0.0015859998289554644,-11.524727834726793,-11.711672559750195,-11.881483355444296,true,,0.6997533908754624,0.0,0.31011097410604194,0.0,0.0,0.0,0.0
12,0.02517,4.245685206999998,676,0.5030773249414714,0.5030773249414714,-0.021125453943346528,-0.004446524619534764,-0.004644529598336389,-11.51798226440784,-11.704275629640364,-11.877308663242161,true,,0.6997533908754624,0.0,0.31011097410604194,0.0,0.0,0.0,0.0
13,0.017904542,4.2635897489999985,677,0.5016620356952975,0.5016620356952975,-0.021417778645966834,-0.004405552992865047,-0.004659917323835305,-11.516877110338438,-11.706131168758459,-11.87679706225476,true,,0.6997533908754624,0.0,0.31011097410604194,0.0,0.0,0.0,0.0
14,0.010131083,4.273720831999999,685,0.5016729179632572,0.5016729179632572,-0.021405016814363353,-0.004448970430466992,-0.004669124171847394,-11.516880596761123,-11.706101180653917,-11.876607334199068,true,,0.6997533908754624,0.0,0.31011097410604194,0.0,0.0,0.0,0.0
15,0.009559333,4.283280164999999,685,0.5016729179632572,0.5016729179632572,-0.021405016814363353,-0.004448970430466992,-0.004669124171847394,-11.516880596761123,-11.706101180653917,-11.876607334199068,true,,0.6997533908754624,0.0,0.31011097410604194,0.0,0.0,0.0,0.0
16,0.073121917,4.356402081999999,688,0.5037651800095392,0.5037651800095392,-0.021551817869694068,-0.010372284545215438,-0.003058062984593324,-11.51469842393432,-11.70500773024349,-11.881176687029626,true,,0.6997533908754624,0.0,0.31011097410604194,0.0,0.0,0.0,0.0
17,0.116946125,4.473348206999999,709,0.5032409234717559,0.5032409234717559,-0.021614621725802863,-0.013691571491738386,-0.0018521411906158303,-11.505316821670869,-11.693979337103169,-11.875539303627159,true,,0.6997533908754624,0.0,0.31011097410604194,0.0,0.0,0.0,0.0
18,0.011218542,4.484566748999999,721,0.5032567738744738,0.5032567738744738,-0.021693307933922212,-0.013903064935372966,-0.002031375254903489,-11.505324490648723,-11.693864447451537,-11.875069349858375,true,,0.6997533908754624,0.0,0.31011097410604194,0.0,0.0,0.0,0.0
19,0.012015875,4.496582623999999,723,0.5032396248112002,0.5032396248112002,-0.021703767336195057,-0.013968871999073706,-0.0020469809098848657,-11.505324463121104,-11.69372680364957,-11.875054492042793,true,,0.6997533908754624,0.0,0.31011097410604194,0.0,0.0,0.0,0.0
20,0.018452875,4.515035499,724,0.5010410355121592,0.5010410355121592,-0.021517388183626696,-0.011064473032429967,-0.0034215902643544016,-11.502369160473007,-11.693692004689208,-11.87930773297017,true,,0.6997533908754624,0.0,0.31011097410604194,0.0,0.0,0.0,0.0
21,0.010130542,4.525166040999999,724,0.5010410355121592,0.5010410355121592,-0.021517388183626696,-0.011064473032429967,-0.0034215902643544016,-11.502369160473007,-11.693692004689208,-11.87930773297017,true,,0.6997533908754624,0.0,0.31011097410604194,0.0,0.0,0.0,0.0
22,0.010904542,4.536070582999999,727,0.501429651167279,0.501429651167279,-0.023438926087319012,-0.011553984512195692,-0.0051769691977708865,-11.499075971797325,-11.697980805851735,-11.881231024044041,true,,0.6997533908754624,0.0,0.31011097410604194,0.0,0.0,0.0,0.0
23,0.01007375,4.546144332999999,727,0.501429651167279,0.501429651167279,-0.023438926087319012,-0.011553984512195692,-0.0051769691977708865,-11.499075971797325,-11.697980805851735,-11.881231024044041,true,,0.6997533908754624,0.0,0.31011097410604194,0.0,0.0,0.0,0.0
24,0.010646583,4.556790915999999,728,0.5014140961894963,0.5014140961894963,-0.023413199076678937,-0.011406454844771985,-0.005195276338666233,-11.499066441295444,-11.697753220601117,-11.88107471857512,true,,0.6997533908754624,0.0,0.31011097410604194,0.0,0.0,0.0,0.0
25,0.02585175,4.582642665999999,730,0.5014138637748703,0.5014138637748703,-0.02337959506555276,-0.011337980220655353,-0.0051703119266127695,-11.499065774988532,-11.697874949338388,-11.881043193550477,true,,0.6997533908754624,0.0,0.31011097410604194,0.0,0.0,0.0,0.0
26,0.077550667,4.660193332999999,737,0.5030561208036972,0.5030561208036972,-0.02454469260159542,-0.015472144996487636,-0.00706106811643592,-11.489638219958653,-11.68011018051602,-11.863241079324464,true,,0.6997533908754624,0.0,0.31011097410604194,0.0,0.0,0.0,0.0
27,0.011380417,4.6715737499999985,742,0.5029183740081344,0.5029183740081344,-0.024786745151401557,-0.014727058649845137,-0.006052045713341392,-11.484480971522489,-11.679524721661831,-11.863185680366648,true,,0.6997533908754624,0.0,0.31011097410604194,0.0,0.0,0.0,0.0
28,0.010355083,4.681928832999999,743,0.5026714652224189,0.5026714652224189,-0.024718781395033917,-0.013804061783344146,-0.006531621994716796,-11.48376241302273,-11.678963425447089,-11.85505137461794,true,,0.6997533908754624,0.0,0.31011097410604194,0.0,0.0,0.0,0.0
29,0.010388166,4.692316998999999,744,0.5027033603288353,0.5027033603288353,-0.02498138362576452,-0.014011560200406503,-0.005741587677408844,-11.483523361306123,-11.678026979717071,-11.857022018752405,true,,0.6997533908754624,0.0,0.31011097410604194,0.0,0.0,0.0,0.0
30,0.010483084,4.702800082999999,747,0.49979023883909446,0.49979023883909446,-0.024378015216559912,-0.021846344760690806,-0.0018792133187017779,-11.467976083225702,-11.656528468796605,-11.86533009860249,true,,0.6997533908754624,0.0,0.31011097410604194,0.0,0.0,0.0,0.0
31,0.084808958,4.787609040999999,798,0.49620047433474096,0.49620047433474096,-0.024992514706541624,-0.02376524457161122,0.005091325749480569,-11.458277471761216,-11.651820900441065,-11.88522422059575,true,,0.6997533908754624,0.0,0.31011097410604194,0.0,0.0,0.0,0.0
32,0.026760291,4.814369331999999,800,0.49620724491774976,0.49620724491774976,-0.025000845015442197,-0.023737896647265555,0.0050717795652056585,-11.458277448891671,-11.651953922565452,-11.885221391119462,true,,0.6997533908754624,0.0,0.31011097410604194,0.0,0.0,0.0,0.0
33,0.011317667,4.825686998999999,804,0.4972564518490055,0.4972564518490055,-0.026135812017027082,-0.023691337337710228,0.004569113313678708,-11.454744152573003,-11.64981831138224,-11.877034478896958,true,,0.6997533908754624,0.0,0.31011097410604194,0.0,0.0,0.0,0.0
34,0.011332125,4.837019123999999,806,0.497274517906572,0.497274517906572,-0.026119990755778977,-0.023676744807346495,0.0046168682239358105,-11.454741958983949,-11.649945544328627,-11.877331408913609,true,,0.6997533908754624,0.0,0.31011097410604194,0.0,0.0,0.0,0.0
35,0.011211667,4.848230791,808,0.49727670911026417,0.49727670911026417,-0.02616893825800648,-0.02373954562491698,0.004674400572502457,-11.454735333418258,-11.649660759027824,-11.877792280432068,true,,0.6997533908754624,0.0,0.31011097410604194,0.0,0.0,0.0,0.0
36,0.011207417,4.859438207999999,815,0.49731760125849955,0.49731760125849955,-0.027345112061744503,-0.02544190504467503,0.0005011327328189319,-11.450410899367139,-11.641841881586783,-11.869349672353156,true,,0.6997533908754624,0.0,0.31011097410604194,0.0,0.0,0.0,0.0
37,0.011084417,4.8705226249999996,816,0.4959626691438399,0.4959626691438399,-0.02663186392270045,-0.02829399335866678,-0.003901490261630447,-11.447844525663387,-11.640061126813622,-11.856013848150956,true,,0.6997533908754624,0.0,0.31011097410604194,0.0,0.0,0.0,0.0
38,0.010876375,4.881398999999999,816,0.4959626691438399,0.4959626691438399,-0.02663186392270045,-0.02829399335866678,-0.003901490261630447,-11.447844525663387,-11.640061126813622,-11.856013848150956,true,,0.6997533908754624,0.0,0.31011097410604194,0.0,0.0,0.0,0.0
39,0.011125333,4.892524332999999,818,0.49596267344656475,0.49596267344656475,-0.026631867601341286,-0.028293999925280144,-0.003901501851422462,-11.447844525663387,-11.640061126813622,-11.856013848150956,true,,0.6997533908754624,0.0,0.31011097410604194,0.0,0.0,0.0,0.0
40,0.011190917,4.903715249999999,819,0.49577049878200335,0.49577049878200335,-0.0267473958375829,-0.02810185324011627,-0.0036590392627413593,-11.447560568446967,-11.640222691574735,-11.855866083838485,true,,0.6997533908754624,0.0,0.31011097410604194,0.0,0.0,0.0,0.0
41,0.011007667,4.914722917,819,0.49577049878200335,0.49577049878200335,-0.0267473958375829,-0.02810185324011627,-0.0036590392627413593,-11.447560568446967,-11.640222691574738,-11.855866083838485,true,,0.6997533908754624,0.0,0.31011097410604194,0.0,0.0,0.0,0.0
42,0.011853084,4.926576001,835,0.49621664999163284,0.49621664999163284,-0.025920747939111255,-0.027878206999266686,-0.005415394429176601,-11.44715935443757,-11.639637198772501,-11.857008082042164,true,,0.6997533908754624,0.0,0.31011097410604194,0.0,0.0,0.0,0.0
43,0.012473416,4.939049417,837,0.4962421858358217,0.4962421858358217,-0.025896262696851302,-0.027953022845525255,-0.005526789124049802,-11.447158549928595,-11.639889679446378,-11.857209356505837,true,,0.6997533908754624,0.0,0.31011097410604194,0.0,0.0,0.0,0.0
44,0.011555208,4.9506046249999995,839,0.4962421858358217,0.4962421858358217,-0.025896262696851302,-0.027953022845525255,-0.005526789124049802,-11.447158549928595,-11.639889679446378,-11.857209356505837,true,,0.6997533908754624,0.0,0.31011097410604194,0.0,0.0,0.0,0.0
45,0.0113955,4.962000124999999,844,0.49645015061605186,0.49645015061605186,-0.02609625869179233,-0.027788044765648667,-0.00540077724745347,-11.447206088228867,-11.640437722193191,-11.85786473219894,true,,0.6997533908754624,0.0,0.31011097410604194,0.0,0.0,0.0,0.0
46,0.011656125,4.9736562499999994,847,0.4962229090720701,0.4962229090720701,-0.02616708714308591,-0.023867884657955196,-0.00857976427863505,-11.440944370515457,-11.645796337670815,-11.84129697327995,true,,0.6997533908754624,0.0,0.31011097410604194,0.0,0.0,0.0,0.0
47,0.011634541,4.985290791,849,0.4962229090720701,0.4962229090720701,-0.02616708714308591,-0.023867884657955196,-0.00857976427863505,-11.440944370515457,-11.645796337670815,-11.84129697327995,true,,0.6997533908754624,0.0,0.31011097410604194,0.0,0.0,0.0,0.0
48,0.011670166,4.996960957,851,0.4962620750870782,0.4962620750870782,-0.026091748604782916,-0.023709082225426226,-0.008506675738663816,-11.440940672828013,-11.64604286545067,-11.84162801123397,true,,0.6997533908754624,0.0,0.31011097410604194,0.0,0.0,0.0,0.0
49,0.013026833,5.009987789999999,894,0.4942207588863733,0.4942207588863733,-0.028598894426244748,-0.026552134374245195,-0.009224501098432203,-11.426677266462866,-11.627810445038952,-11.83754656905915,true,,0.6997533908754624,0.0,0.31011097410604194,0.0,0.0,0.0,0.0
50,0.013922917,5.023910707,896,0.4941697909843006,0.4941697909843006,-0.0286093362883314,-0.026526752898053063,-0.009192086519702936,-11.426674596787729,-11.627981882098442,-11.83773416514252,true,,0.6997533908754624,0.0,0.31011097410604194,0.0,0.0,0.0,0.0
51,0.012025959,5.035936666,900,0.4934475147191974,0.4934475147191974,-0.02865906260947848,-0.022936127171482523,-0.007535922828884267,-11.424004820494117,-11.643853976465056,-11.843703305255211,true,,0.6997533908754624,0.0,0.31011097410604194,0.0,0.0,0.0,0.0
52,0.075753833,5.111690499,908,0.4935224099560188,0.4935224099560188,-0.028599060031725743,-0.022717962048625973,-0.008358020719791193,-11.423424725082782,-11.643854727792808,-11.838746049130439,true,,0.6997533908754624,0.0,0.31011097410604194,0.0,0.0,0.0,0.0
53,0.012362333,5.124052831999999,910,0.4935224099560188,0.4935224099560188,-0.028599060031725743,-0.022717962048625973,-0.008358020719791193,-11.423424725082782,-11.643854727792808,-11.838746049130439,true,,0.6997533908754624,0.0,0.31011097410604194,0.0,0.0,0.0,0.0
54,0.012310666,5.136363498,918,0.4919167995535746,0.4919167995535746,-0.02683013576248039,-0.014237823855883458,-0.006772073163163084,-11.42076792740544,-11.627932406793045,-11.826889033351618,true,,0.6997533908754624,0.0,0.31011097410604194,0.0,0.0,0.0,0.0
55,0.012398166,5.148761663999999,920,0.4919167888616659,0.4919167888616659,-0.026830152183080158,-0.01423784709159237,-0.00677208144158592,-11.42076792740544,-11.627932406793045,-11.826889033351618,true,,0.6997533908754624,0.0,0.31011097410604194,0.0,0.0,0.0,0.0
56,0.011871542,5.160633205999999,920,0.4919167888616659,0.4919167888616659,-0.026830152183080158,-0.01423784709159237,-0.00677208144158592,-11.42076792740544,-11.627932406793045,-11.826889033351618,true,,0.6997533908754624,0.0,0.31011097410604194,0.0,0.0,0.0,0.0
57,0.012016166,5.1726493719999995,921,0.49193471243111614,0.49193471243111614,-0.026851793655976453,-0.013901749958817322,-0.006317773774739299,-11.42073751288107,-11.627057903569762,-11.827082118511989,true,,0.6997533908754624,0.0,0.31011097410604194,0.0,0.0,0.0,0.0
58,0.012372209,5.185021580999999,933,0.49125948741601266,0.49125948741601266,-0.025980897169307626,-0.011950075422694217,-0.003631456592489868,-11.419244322777853,-11.623595761179493,-11.827873417176004,true,,0.6997533908754624,0.0,0.31011097410604194,0.0,0.0,0.0,0.0
59,0.012916834,5.197938414999999,945,0.4907480701672133,0.4907480701672133,-0.025724791351706466,-0.013471644610052569,-0.001224536182624969,-11.418099309342287,-11.622052210749452,-11.822448273584621,true,,0.6997533908754624,0.0,0.31011097410604194,0.0,0.0,0.0,0.0
60,0.0139745,5.211912914999999,947,0.49072302553153113,0.49072302553153113,-0.025763871559564056,-0.013668883198789783,-0.0012488124507760157,-11.418098641009342,-11.622114147625188,-11.822397049896692,true,,0.6997533908754624,0.0,0.31011097410604194,0.0,0.0,0.0,0.0
61,0.01265725,5.224570164999999,963,0.4912067768505712,0.4912067768505712,-0.025160309390579227,-0.012645271964709326,0.0013284817456252762,-11.416278194876789,-11.621403735325096,-11.823170107720484,true,,0.6997533908754624,0.0,0.31011097410604194,0.0,0.0,0.0,0.0
62,0.01241125,5.236981415,963,0.4912067768505712,0.4912067768505712,-0.025160309390579227,-0.012645271964709326,0.0013284817456252762,-11.416278194876789,-11.621403735325096,-11.823170107720484,true,,0.6997533908754624,0.0,0.31011097410604194,0.0,0.0,0.0,0.0
63,0.012600042,5.249581457,964,0.4914705704320556,0.4914705704320556,-0.022474188123309036,-0.012640588193268298,-0.009101366239880782,-11.41429708216685,-11.62068176497434,-11.837118803000294,true,,0.6997533908754624,0.0,0.31011097410604194,0.0,0.0,0.0,0.0
64,0.012565083,5.26214654,968,0.4917274052638288,0.4917274052638288,-0.02254765294055494,-0.011504893162134544,-0.010420374394882304,-11.413740189988685,-11.621222212538981,-11.832933007989286,true,,0.6997533908754624,0.0,0.31011097410604194,0.0,0.0,0.0,0.0
65,0.013860875,5.276007415,983,0.4894539610272693,0.4894539610272693,-0.022328086129698832,-0.016318638527438978,-0.010489104138243777,-11.410662892741962,-11.604103294273672,-11.828888460549354,true,,0.6997533908754624,0.0,0.31011097410604194,0.0,0.0,0.0,0.0
66,0.0146845,5.290691915,985,0.48943432492838546,0.48943432492838546,-0.02233758442040301,-0.01635272960606793,-0.010502823140649653,-11.41066276747745,-11.60410717986085,-11.828879865754153,true,,0.6997533908754624,0.0,0.31011097410604194,0.0,0.0,0.0,0.0
67,0.012896833,5.303588748,988,0.49005693579851617,0.49005693579851617,-0.0202748986104625,-0.013607385813244832,-0.004265932011462414,-11.40847305211129,-11.602110066091013,-11.828306693045214,true,,0.6997533908754624,0.0,0.31011097410604194,0.0,0.0,0.0,0.0
68,0.06230925,5.365897998,1014,0.4874258164545775,0.4874258164545775,-0.018688597491792747,-0.0004254941603992757,-0.013216404421698469,-11.398647291084096,-11.563820792093308,-11.845611715141615,true,,0.6997533908754624,0.0,0.31011097410604194,0.0,0.0,0.0,0.0
69,0.013823625,5.379721623,1016,0.48743543515625287,0.48743543515625287,-0.01857675301953221,-0.00023565096337663238,-0.013018184385839016,-11.398531918289441,-11.563581770021019,-11.845463091525518,true,,0.6997533908754624,0.0,0.31011097410604194,0.0,0.0,0.0,0.0
70,0.01345375,5.393175373,1016,0.48743543515625287,0.48743543515625287,-0.01857675301953221,-0.00023565096337663238,-0.013018184385839016,-11.398531918289441,-11.563581770021019,-11.845463091525518,true,,0.6997533908754624,0.0,0.31011097410604194,0.0,0.0,0.0,0.0
71,0.0138225,5.406997873,1017,0.4872782493564988,0.4872782493564988,-0.018451881695244254,-0.0005767877927043141,-0.011042579121532947,-11.398292763196796,-11.561337111955108,-11.842589058952772,true,,0.6997533908754624,0.0,0.31011097410604194,0.0,0.0,0.0,0.0
72,0.029284459,5.436282332,1022,0.487189898605863,0.487189898605863,-0.018608139843167226,-6.586586992363141e-5,-0.010553052589770351,-11.397314535986498,-11.562114440988843,-11.845209710430911,true,,0.6997533908754624,0.0,0.31011097410604194,0.0,0.0,0.0,0.0
73,0.014205625,5.450487957,1024,0.48720650326060216,0.48720650326060216,-0.018639072601230655,-6.84202825391722e-5,-0.010669306896272213,-11.397308210889783,-11.562112362252133,-11.844903304805264,true,,0.6997533908754624,0.0,0.31011097410604194,0.0,0.0,0.0,0.0
74,0.013943917,5.464431874,1025,0.4872412594932361,0.4872412594932361,-0.018727937612864287,-0.00036220965390654225,-0.010639463595691234,-11.397290265230549,-11.562279691669417,-11.845087623456378,true,,0.6997533908754624,0.0,0.31011097410604194,0.0,0.0,0.0,0.0
75,0.013716916,5.47814879,1025,0.4872412594932361,0.4872412594932361,-0.018727937612864287,-0.00036220965390654225,-0.010639463595691234,-11.397290265230549,-11.562279691669417,-11.845087623456378,true,,0.6997533908754624,0.0,0.31011097410604194,0.0,0.0,0.0,0.0
76,0.014378792,5.492527581999999,1028,0.48746790815758195,0.48746790815758195,-0.01607743872882239,-0.00029889563024210197,-0.008707191942939674,-11.393176923579462,-11.554424821836427,-11.833753312788359,true,true,0.6997533908754624,0.0,0.31011097410604194,0.0,0.0,0.0,0.0
77,0.088910916,5.581438497999999,1047,0.4836116111662981,0.4836116111662981,-0.014791654529068499,0.0022779103997888628,-0.001946856829500354,-11.387279962721083,-11.55738012950852,-11.85214086143072,true,,0.6997533908754624,0.0,0.31011097410604194,0.0,0.0,0.0,0.0
78,0.015958666,5.597397163999999,1049,0.4835799639263521,0.4835799639263521,-0.014764338934585952,0.0023017641281155576,-0.0018790362639323765,-11.387279101453213,-11.557351936556248,-11.852399813506013,true,,0.6997533908754624,0.0,0.31011097410604194,0.0,0.0,0.0,0.0
79,0.0148115,5.612208664,1080,0.4825929267145797,0.4825929267145797,-0.01564313193279243,0.0020857179601574405,-0.0032608608552624485,-11.386644652623136,-11.560787798056763,-11.856334403611056,true,,0.6997533908754624,0.0,0.31011097410604194,0.0,0.0,0.0,0.0
80,0.015591209,5.627799873,1093,0.4824852110737415,0.4824852110737415,-0.016145556224085866,0.0018267014301690532,-0.0026837094938234607,-11.382982842075464,-11.557642973025283,-11.855094735255461,true,,0.6997533908754624,0.0,0.31011097410604194,0.0,0.0,0.0,0.0
81,0.016499458,5.644299331,1095,0.4824806949031461,0.4824806949031461,-0.016142918385344318,0.001783589592652679,-0.002673225285160119,-11.382982705213651,-11.557455100638192,-11.855092679332227,true,,0.6997533908754624,0.0,0.31011097410604194,0.0,0.0,0.0,0.0
82,0.014526666,5.658825997,1098,0.4820126139407293,0.4820126139407293,-0.010452330824119893,0.009729064776964003,-0.007062823526442941,-11.375235021865004,-11.558646583438188,-11.876605210238699,true,,0.6997533908754624,0.0,0.31011097410604194,0.0,0.0,0.0,0.0
