iter,time,total_time,circuit_size,cross_entropy_D,cross_entropy_Df,train_discrimination,valid_discrimination,test_discrimination,train_mll,valid_mll,test_mll,struct?,stop?,P(D),P(Df),P(S),"P(D|Df,S)","P(D|Df,notS)","P(D|notDf,S)","P(D|notDf,notS)"
10,0.034900292,1.264927166,1239,0.4914141776164887,0.4923972044591515,-0.010905030040751273,0.001778934719198877,-0.007525170443668183,-11.392636,-11.536784,-11.816357,false,,0.6997190150221201,0.6991517681062768,0.31011099487351756,0.9698088350262851,0.9905461279537461,0.02496077694327073,0.045021695831562396
11,0.035098167,1.300025333,1239,0.4918059035084567,0.49304692253296417,-0.010128620540552968,0.0023309712676549132,-0.007032481450883088,-11.392523,-11.536263,-11.814999,false,,0.6997475519224127,0.6986759633359647,0.31011099863427305,0.9675244397147692,0.9897488811985297,0.025939660844363725,0.05111215162640909
12,0.034510667,1.334536,1239,0.49219904434660966,0.4937200795215632,-0.009365487049291077,0.002888462138084691,-0.006520224395134111,-11.392406,-11.53584,-11.813683,false,,0.6997767918815901,0.6980831775014762,0.31011098054447267,0.965512791441599,0.988942441898666,0.02686800043141397,0.0574645867101141
13,0.034491958,1.369027958,1239,0.4925940825451527,0.4944198071727734,-0.0086213108341191,0.0034426045652424797,-0.005996922829321405,-11.392286,-11.535502,-11.812396,false,,0.699805871444794,0.6973702338742847,0.310110954274424,0.96378292752294,0.9881205643827752,0.027760225832352065,0.06407695382996988
14,0.035520334,1.404548292,1239,0.4929915439574934,0.49515109224138765,-0.007899176462472512,0.003987484222034654,-0.005469542262809601,-11.3921585,-11.535243,-11.8111315,false,,0.6998344216581229,0.6965357511794796,0.31011097925161113,0.9623349875909446,0.9872774381186231,0.02862714585403389,0.07095074977766545
15,0.034673583,1.439221875,1239,0.49339215204498693,0.49592097595977086,-0.007199589906628279,0.004520039412739374,-0.004943045713598826,-11.392023,-11.535056,-11.8098755,false,,0.6998614685839679,0.6955788367045173,0.3101109918525652,0.961161729491664,0.986407370394694,0.02947722562088898,0.07809018326132254
16,0.035231125,1.474453,1239,0.4937970750250787,0.4967385723035706,-0.006521119382938867,0.005039898471926096,-0.004420648151565176,-11.391876,-11.534931,-11.808617,false,,0.6998867874547904,0.6945000164204854,0.31011091656504847,0.9602507297511309,0.9855046464459774,0.030317543316850985,0.08550216989150526
17,0.034694584,1.509147584,1239,0.4942074432549579,0.49761458170467865,-0.005860990002063304,0.005548673266918769,-0.0039032616371673656,-11.391717,-11.534868,-11.80735,false,,0.699909792613481,0.6933000824192479,0.3101109542068029,0.9595860276790941,0.9845632153332639,0.03115436391755827,0.09319489011307844
18,0.034966916,1.5441144999999998,1239,0.4946253294137989,0.4985620253008104,-0.005215816371986759,0.006048813983675849,-0.003391986417155435,-11.391545,-11.534868,-11.806062,false,,0.6999299584286813,0.69198036797813,0.31011097000003673,0.9591496717409536,0.9835765641239458,0.0319935823462093,0.10117693351161654
19,0.034520625,1.578635125,1239,0.4950526830563354,0.4995953791946833,-0.004582111489365381,0.006543926874296835,-0.002885938695971868,-11.391358,-11.534931,-11.804751,false,,0.6999466177044105,0.6905426172648241,0.3101109654723853,0.9589228589302746,0.9825374942104816,0.032840964164994955,0.10945617875375332
20,0.035669083,1.6143042079999999,1239,0.4954920018278365,0.5007305838487524,-0.003956597941439655,0.007038427680779669,-0.0023842459574104913,-11.3911495,-11.535054,-11.803414,false,,0.6999595102973993,0.6889896970134354,0.3101109875879763,0.9588868409338435,0.9814379832781877,0.03370240247740032,0.11803867016729888
21,0.035334625,1.6496388329999998,1239,0.4959460177643141,0.5019850043669281,-0.0033363628977215454,0.007537032657304432,-0.0018857786845829505,-11.390921,-11.53524,-11.80205,false,,0.69996775273476,0.6873248534572225,0.31011095692848867,0.9590232706304248,0.9802690103967585,0.03458389778088249,0.12692700483679498
22,0.03560875,1.6852475829999998,1239,0.49641785990586595,0.503377006515325,-0.0027193885597083245,0.008044687091098401,-0.0013894622051526806,-11.390674,-11.535496,-11.800662,false,,0.6999708152552626,0.6855529277138775,0.31011095572951436,0.9593145224722849,0.979020537385224,0.03549153220630777,0.1361198403152797
23,0.048911291,1.7341588739999998,1239,0.4969107308686378,0.5049251283525994,-0.0021050159630296994,0.008565873840488791,-0.0008942057925557245,-11.390403,-11.535821,-11.799251,false,,0.6999682299512502,0.6836803346134115,0.31011096450430253,0.9597437568330605,0.9776814299221261,0.03643159142835185,0.14561097174694224
24,0.034786125,1.768944999,1239,0.49742821209735666,0.5066480264445503,-0.0014935944263866352,0.009105547997813379,-0.0003991724538897623,-11.390109,-11.536219,-11.797827,false,,0.6999592093573817,0.6817150207732585,0.31011099483168303,0.9602948177911863,0.9762394400025952,0.03741023641726147,0.1553884609380225
25,0.035242291,1.80418729,1239,0.49797384926606963,0.5085634169797058,-0.0008871812420102598,0.009667725845592945,9.536409070565188e-5,-11.389793,-11.536697,-11.7964,false,,0.6999434285384443,0.679667317455213,0.31011099118168406,0.9609522110583593,0.9746813235515043,0.03843348319980682,0.16543514073690993
26,0.034914667,1.839101957,1239,0.49855149702754553,0.5106878762273401,-0.00028792887885265017,0.010257130624199862,0.0005903699701386156,-11.389456,-11.537261,-11.79498,false,,0.6999208441959086,0.6775498164812357,0.3101109554317072,0.9617009419027126,0.9729930237451582,0.03950703926017098,0.1757287956323028
27,0.034779416,1.873881373,1239,0.49916472129855527,0.5130355630819755,0.00029964160517303995,0.0108759379601987,0.0010846609707980681,-11.389095,-11.537916,-11.79358,false,,0.6998911667945924,0.6753766760197593,0.31011098419608557,0.9625262798306305,0.9711597972142192,0.04063596666228735,0.18624317948810534
28,0.03470925,1.9085906229999998,1239,0.4998172326579932,0.5156193396077098,0.0008709080780766598,0.011525616009030792,0.0015766269098672625,-11.388716,-11.538662,-11.792213,false,,0.6998544592229886,0.6731638448840924,0.31011098204871246,0.9634139247740842,0.9691666122770288,0.041824590571819864,0.19694942821692676
29,0.034691792,1.9432824149999999,1239,0.5005118424698067,0.5184499238728328,0.0014210951613031764,0.012205643564087931,0.002064083968954411,-11.388315,-11.539506,-11.790889,false,,0.6998111646372142,0.6709286659700355,0.31011098968029926,0.9643498289546982,0.9669985460820193,0.04307625977924509,0.2078177445154757
30,0.034939583,1.978221998,1239,0.5012509911243028,0.5215373021706531,0.0019450503550566545,0.012912939673828339,0.0025426820364027325,-11.387896,-11.540444,-11.789619,false,,0.6997622080135943,0.6686893846912156,0.3101110024518913,0.9653203848874857,0.9646412409084711,0.04439316591962138,0.21881902244632057
